Network Type,Latitude,Longitude
3G,25.69314647,85.02043053
LTE,25.60923078,85.11342237
LTE,25.43174356,85.13605401
4G,25.53897052,85.20788974
3G,25.63281464,85.26912925
5G,25.44939229,85.17667766
4G,25.48257977,85.02579244
5G,25.43681077,85.20681694
4G,25.47916056,85.05969481
3G,25.73810537,85.05274925
LTE,25.48146874,85.15943375
LTE,25.59412706,85.2376185
3G,25.52031318,84.98831235
4G,25.51962605,85.24684523
3G,25.47587389,85.07697723
5G,25.54749882,85.14520467
LTE,25.61896646,85.22953134
4G,25.57323007,85.01695688
LTE,25.61919915,85.2072815
5G,25.42305446,85.13000794
LTE,25.71550536,85.12481844
3G,25.6537666,84.99409718
3G,25.61447487,85.12582574
5G,25.60893643,85.24872236
3G,25.54539612,84.99640277
4G,25.54645826,85.02616324
3G,25.64974125,85.29733764
4G,25.49992392,85.10576754
LTE,25.69161328,85.26649775
3G,25.4817809,85.16762163
4G,25.66285138,85.05427522
3G,25.63396581,85.0860071
5G,25.68629623,85.1379785
5G,25.54764859,84.98664666
5G,25.64523208,84.96567173
3G,25.69640763,85.18276457
4G,25.58249756,84.96896589
LTE,25.59868649,85.21042248
LTE,25.49074027,85.26783589
LTE,25.72665706,85.07679802
LTE,25.59225498,84.97794601
3G,25.55583045,85.12319117
5G,25.50052969,85.06809442
3G,25.57762774,85.1728049
LTE,25.65779911,85.08227684
5G,25.47782498,85.18898669
4G,25.45844738,85.17756298
4G,25.65068522,85.14352068
LTE,25.56523602,85.05291983
5G,25.56104848,85.27593282
4G,25.52227387,85.25475595
3G,25.62761903,85.13543965
3G,25.7515171,85.17816427
3G,25.75317323,85.07911715
4G,25.49007193,85.15172022
4G,25.70930744,85.19127774
4G,25.70862172,85.25558347
5G,25.64505469,85.01405377
5G,25.66166779,85.21252472
5G,25.53557274,85.14555815
4G,25.57071459,85.06285923
5G,25.69627041,85.17957239
4G,25.50319604,85.12305089
LTE,25.6765687,85.24868357
4G,25.67234351,85.29643869
3G,25.52044021,85.04391314
5G,25.53131416,85.17466495
LTE,25.653167,85.04341277
LTE,25.68067989,85.18322428
5G,25.65571292,85.18143898
3G,25.62006755,85.29929909
LTE,25.7125437,85.27231838
3G,25.58464382,85.27220591
3G,25.58482694,85.04201283
5G,25.64533957,85.00856535
3G,25.73025499,85.15013303
3G,25.64866655,85.20199985
LTE,25.63452051,85.19464363
4G,25.50231827,85.02440174
4G,25.51663541,85.03678828
5G,25.62956354,85.31000594
5G,25.63199673,85.12822851
3G,25.48241938,85.156004
5G,25.68565177,85.13854558
4G,25.72938524,85.06081822
LTE,25.71859129,85.12732676
5G,25.52105481,85.11101683
4G,25.69587171,85.15094952
LTE,25.44708805,85.19005544
3G,25.53483578,85.18525238
3G,25.6679664,84.98145205
3G,25.64260948,85.04089393
3G,25.6093889,85.26924804
3G,25.54535381,85.28306169
3G,25.65402087,85.28988406
4G,25.70123556,85.1733532
3G,25.42592527,85.11091029
4G,25.4352509,85.05846036
5G,25.71106747,85.24621056
LTE,25.4735701,85.08596579
3G,25.65741399,85.285892
5G,25.62870047,85.14876107
LTE,25.65335282,85.15487566
3G,25.56624148,85.26371848
5G,25.69860048,85.21310322
LTE,25.60528619,84.96665853
3G,25.69010638,85.16058338
5G,25.76985366,85.17394049
4G,25.5883582,85.01792392
5G,25.58858282,85.12321281
5G,25.47851106,85.20385431
4G,25.55904619,85.1722803
3G,25.60028166,85.10866794
3G,25.58056139,85.30662411
5G,25.76020977,85.07745158
4G,25.64976309,85.23759977
5G,25.5854062,85.26493765
3G,25.76470395,85.09166246
LTE,25.5653394,85.21095434
LTE,25.75157778,85.21495084
LTE,25.4981268,85.25561885
4G,25.54999398,85.29336326
LTE,25.71690948,85.25981428
3G,25.73433962,85.22085695
4G,25.52115732,85.06778053
3G,25.57094068,84.98941155
3G,25.65693284,85.01435122
3G,25.68731584,85.17255208
4G,25.59132159,85.24139803
3G,25.5186701,85.28172475
4G,25.51163561,85.07588121
5G,25.64508765,85.20268872
5G,25.72947935,85.24054867
LTE,25.70751873,85.20640214
4G,25.64706088,85.07114984
LTE,25.5872451,85.29003343
LTE,25.74653298,85.04850096
4G,25.6569386,85.15993296
4G,25.45070622,85.22741368
4G,25.47361286,85.12390306
5G,25.50428534,85.24793068
LTE,25.43007368,85.18357234
3G,25.57608014,85.05041606
5G,25.60542938,85.25226034
LTE,25.52757338,85.12909721
5G,25.51818546,85.19300477
3G,25.58010823,85.27431766
5G,25.5532155,85.0976612
LTE,25.4233154,85.09864811
LTE,25.71817447,85.23543253
5G,25.56584139,85.26007586
5G,25.42238215,85.1445698
5G,25.63999506,85.00167559
3G,25.50346018,84.98289679
LTE,25.76286566,85.14822892
3G,25.64263428,85.06340286
5G,25.68594265,85.2698853
5G,25.50055808,85.18942268
4G,25.42768685,85.16611543
5G,25.63094643,85.06733574
5G,25.74338797,85.15808185
5G,25.68962874,85.18758458
4G,25.55689313,85.02811025
5G,25.62268217,85.05111964
4G,25.50686002,85.09987873
LTE,25.57056902,85.1690509
3G,25.50401868,85.14280714
4G,25.72701986,85.18041326
LTE,25.51594585,85.0300981
5G,25.45010619,85.22730183
LTE,25.61594175,85.05783832
4G,25.48562468,85.0312684
5G,25.63539055,85.23109727
3G,25.47645067,85.18620529
5G,25.69065577,85.22462849
4G,25.55452598,85.31034876
3G,25.52012702,85.16795686
4G,25.51707489,85.27362921
5G,25.55333947,85.04848521
LTE,25.52404785,85.02493455
4G,25.43781389,85.17811208
3G,25.74947034,85.13735747
5G,25.61380456,85.31394458
LTE,25.74985955,85.07447591
3G,25.74380351,85.18840603
4G,25.62532891,85.06029658
4G,25.65353989,85.2983263
4G,25.51672674,85.19931748
3G,25.64052933,85.30472282
3G,25.68123264,85.16733873
5G,25.71335929,85.0225333
5G,25.72580668,85.14150085
4G,25.66283928,85.20761588
3G,25.49306643,85.15518357
3G,25.61132924,84.97467615
LTE,25.61733805,85.30592481
5G,25.74705267,85.21960474
5G,25.5417107,85.09905342
LTE,25.63837358,85.16606327
3G,25.56531311,84.96302997
4G,25.65238063,85.24742124
4G,25.70433667,85.04779656
LTE,25.43318165,85.18080467
3G,25.46410256,85.08623377
LTE,25.60180511,85.01884206
3G,25.4966159,85.09787627
4G,25.57762335,85.30863416
4G,25.69325932,85.11472506
5G,25.70336698,85.05371235
LTE,25.68637785,85.14073127
5G,25.65565166,85.02512908
LTE,25.58339904,85.22390067
4G,25.44550824,85.13588182
4G,25.677273,85.25290546
LTE,25.54955274,85.07367354
LTE,25.74407381,85.09468126
4G,25.43447696,85.07736452
4G,25.59445866,85.28969939
4G,25.54029149,85.24009377
4G,25.64744509,85.06012008
5G,25.45546701,85.03180652
4G,25.4890381,85.10900019
3G,25.7597678,85.13508348
LTE,25.50974013,85.16594627
LTE,25.56768699,85.14617766
5G,25.63585172,85.0800862
5G,25.63248118,85.12171621
LTE,25.51102161,85.26154807
LTE,25.6446164,85.24056852
4G,25.66598032,85.2573019
4G,25.41869462,85.10660736
4G,25.51546853,85.19503272
5G,25.51838988,85.1822377
LTE,25.50146348,85.21192858
LTE,25.63167254,84.99225042
4G,25.72978799,85.02829634
3G,25.45057672,85.24310793
5G,25.55653983,85.05701556
5G,25.70061129,85.13641036
4G,25.66619545,85.00947668
3G,25.49467678,85.14838039
4G,25.7169131,85.22191722
4G,25.54766955,85.21448968
4G,25.70763449,85.09441979
4G,25.6936051,85.28038868
5G,25.47603077,85.11471307
5G,25.55091425,85.2570476
4G,25.62536323,85.01772502
4G,25.68100051,85.04497825
LTE,25.64731297,85.19728939
5G,25.65744955,85.20258947
4G,25.66990448,85.21417266
4G,25.64634303,84.98657915
LTE,25.64358867,85.09435627
5G,25.67986436,85.00512135
5G,25.75215733,85.06305216
LTE,25.66331606,84.9942152
LTE,25.61630625,85.17189022
5G,25.50676835,85.08435986
3G,25.70947532,85.0846616
5G,25.60653513,85.22724103
LTE,25.58573411,85.26974072
LTE,25.4762949,85.12258182
LTE,25.63031917,85.21612397
4G,25.56032596,84.99652508
5G,25.74043029,85.23692223
3G,25.56174003,85.09409821
5G,25.54455841,85.25291474
5G,25.64068464,84.98631795
4G,25.54357056,85.14140486
4G,25.47868748,85.16169646
5G,25.62850825,85.28599095
4G,25.57398097,85.17677901
LTE,25.75344074,85.14953396
3G,25.68953769,84.99759493
LTE,25.43306878,85.12721775
4G,25.66635239,85.1179975
LTE,25.6064602,85.05219172
LTE,25.58594984,85.29441456
LTE,25.71895726,85.26592936
3G,25.6303636,85.17440054
4G,25.69842962,85.01310239
4G,25.53426717,84.9873036
3G,25.68489122,85.04316114
4G,25.74662759,85.14328399
4G,25.75681561,85.12436429
5G,25.5247795,85.17261204
3G,25.53193543,84.9855437
5G,25.45746717,85.13920573
4G,25.49198499,85.0939423
LTE,25.46908957,85.12385233
4G,25.61531986,85.16071828
3G,25.70208786,85.16153601
3G,25.73674331,85.08451578
4G,25.57901368,85.26640062
3G,25.67801675,85.232527
5G,25.75697233,85.17067319
LTE,25.68170412,84.98233645
LTE,25.556836,85.16383489
LTE,25.65067419,85.11007572
5G,25.5320964,85.15614141
LTE,25.70287995,85.09681753
LTE,25.61359765,85.17869916
4G,25.66584345,85.11038782
LTE,25.68389856,85.02374276
LTE,25.63553581,84.98173026
3G,25.47771952,85.1004765
3G,25.66452629,85.24463564
5G,25.57050083,85.06315727
3G,25.52121617,85.23156731
LTE,25.66528929,85.09740425
5G,25.45317933,85.16977666
3G,25.59190072,85.22136499
3G,25.71981037,85.19803622
5G,25.46584441,85.05975618
4G,25.64405496,85.21276849
4G,25.66936364,85.2764504
LTE,25.7017303,85.18949406
4G,25.4691416,85.13677765
5G,25.67213846,85.05491065
5G,25.48985085,85.20133094
3G,25.66874613,85.13883463
3G,25.58351104,85.29585314
5G,25.48108776,85.16854592
5G,25.5097032,85.00987994
4G,25.50922418,85.20534861
3G,25.42091987,85.17472122
3G,25.53809659,85.06188137
5G,25.65151629,84.9952432
4G,25.52604532,85.02168063
LTE,25.62285235,85.2680366
LTE,25.66652193,85.15161506
5G,25.67978259,85.13928079
LTE,25.63936926,85.215481
5G,25.50645413,85.20762923
LTE,25.55940715,85.05467298
LTE,25.66849847,85.15107651
5G,25.52375325,85.06885978
LTE,25.59920904,85.25840495
LTE,25.60946755,85.22182433
5G,25.68391842,85.15812072
LTE,25.50559979,85.04885806
4G,25.63907092,85.02498837
LTE,25.51448727,85.21625814
3G,25.55099205,85.22706581
3G,25.74343605,85.10425059
LTE,25.56890332,85.29950018
3G,25.53102985,85.00332896
LTE,25.69227671,85.08798706
5G,25.64739481,84.9926676
LTE,25.62068692,85.02386775
LTE,25.6181291,85.30381419
LTE,25.48468647,85.05127067
LTE,25.71423046,85.00694367
3G,25.62922196,84.98140884
5G,25.53887609,85.21765174
LTE,25.63357962,85.13785359
5G,25.47713955,85.08066589
LTE,25.60241384,85.11008948
3G,25.5219982,85.04226151
3G,25.51182395,85.27516495
5G,25.48718035,85.10755867
4G,25.76280576,85.11248849
LTE,25.54280043,84.97907839
4G,25.72074919,85.14277135
3G,25.47822123,85.14851312
3G,25.59440947,85.14805458
4G,25.45138662,85.19467735
4G,25.64833722,85.04289269
LTE,25.51555895,85.21867973
4G,25.71422472,85.14923409
4G,25.45729077,85.16151059
3G,25.62418295,85.19517846
4G,25.62491919,85.08412352
4G,25.5033628,85.13378297
3G,25.53894129,85.15579236
LTE,25.49990836,85.16838448
5G,25.67945684,85.23079595
4G,25.5745871,85.04542587
4G,25.57570257,85.119813
4G,25.67965812,85.28410939
LTE,25.6162662,85.23347495
5G,25.67826667,85.24010462
5G,25.61227631,85.10991319
4G,25.6512648,85.23685929
LTE,25.46850153,85.1117151
LTE,25.58629034,84.98868772
4G,25.50249018,85.02453909
4G,25.48909749,85.17392946
5G,25.53391393,85.29006092
3G,25.72079492,85.05204255
LTE,25.7111494,85.09222425
LTE,25.72945665,85.05775259
5G,25.52770627,85.17097415
LTE,25.51927644,85.08757221
LTE,25.48081743,85.01115141
3G,25.57661628,85.07211139
4G,25.74169767,85.15539635
3G,25.53763362,85.16081029
5G,25.59816465,85.24709448
LTE,25.49926923,85.14871199
3G,25.45188615,85.14770864
5G,25.65807968,85.02348067
3G,25.72422988,85.03800095
5G,25.61563932,85.16154177
4G,25.53093525,85.23254467
4G,25.69453101,85.16476631
3G,25.60692017,85.07684554
LTE,25.67692873,85.01058926
4G,25.55197335,85.08174181
3G,25.58686686,85.28784486
LTE,25.60043464,85.10990058
3G,25.49370329,85.03892203
3G,25.60742013,84.96285676
4G,25.66598519,85.08906939
LTE,25.49272638,85.1607508
3G,25.66673019,85.20673886
4G,25.56179727,84.99701493
3G,25.42299798,85.12764955
LTE,25.65057057,85.29530231
LTE,25.6775598,85.22941632
LTE,25.4932748,85.07656696
3G,25.48805587,85.19042848
4G,25.66099437,85.01208797
5G,25.59365258,85.13538789
LTE,25.76984896,85.13268262
5G,25.65758045,85.05749349
4G,25.66153416,85.21519907
5G,25.476962,85.25791559
4G,25.77019042,85.12244485
4G,25.74196626,85.05089287
LTE,25.62104593,85.21517189
5G,25.5115477,85.0286439
4G,25.60400464,85.1772481
LTE,25.71061168,85.11402691
LTE,25.50826529,84.98085264
LTE,25.60918027,85.15353862
3G,25.68443653,85.02958865
5G,25.73880893,85.06251885
3G,25.70253675,85.00952503
LTE,25.43557371,85.15208695
5G,25.70572972,85.20108069
5G,25.6326416,85.07493359
4G,25.70890186,85.12921048
3G,25.63819093,85.24533436
5G,25.61615642,85.19166075
LTE,25.69074287,85.26266389
5G,25.70008193,85.06147915
5G,25.59070641,85.0514093
3G,25.55382037,85.011013
LTE,25.61351387,85.30822213
LTE,25.59982508,85.06324831
4G,25.45851528,85.13181771
5G,25.55235958,85.16665035
3G,25.50335398,85.20688212
4G,25.53616968,85.30691229
3G,25.49335144,85.22327029
LTE,25.49181447,85.22775927
3G,25.53847843,85.20591029
3G,25.60709925,84.99017191
3G,25.6323066,85.09275137
3G,25.59149649,85.30688514
4G,25.56642335,84.98398473
3G,25.66808895,85.14729733
3G,25.56550505,85.1255764
4G,25.52112298,85.00991541
5G,25.47816447,85.03652906
5G,25.43215792,85.15697233
3G,25.5287492,85.11589705
5G,25.65093998,85.06336465
LTE,25.63463282,85.08404537
3G,25.58856463,85.18545991
4G,25.67129757,85.08108679
4G,25.52625468,85.07910599
5G,25.65655056,85.08217265
4G,25.50652387,85.13580016
LTE,25.66331912,85.15255959
5G,25.51191389,85.1028799
LTE,25.47499385,85.26922107
4G,25.60667398,85.05175985
4G,25.59696818,85.08112768
3G,25.60190595,85.11464931
LTE,25.51187668,85.23473338
5G,25.46007693,85.02566065
5G,25.46651762,85.08545155
3G,25.6860998,84.98760272
LTE,25.71360067,85.05567677
4G,25.58647597,85.19655248
4G,25.67478814,85.05145827
4G,25.68058716,85.24684264
3G,25.51324569,85.11876284
LTE,25.58076228,85.01952186
5G,25.52421122,85.22590351
5G,25.54489944,85.2980894
4G,25.62177648,85.18164767
5G,25.4973651,85.2467614
5G,25.56837858,85.28901789
4G,25.72678992,85.05674093
4G,25.46688659,85.06649099
5G,25.60592263,85.285611
LTE,25.51451497,85.27681323
3G,25.43608694,85.22148253
5G,25.67885856,85.03430184
5G,25.62244423,85.12502107
4G,25.65012646,85.18123508
3G,25.41838279,85.10008117
LTE,25.73649115,85.03784688
LTE,25.46182906,85.09760131
4G,25.42875696,85.07391274
5G,25.54878333,85.30648121
LTE,25.59264581,85.01513413
4G,25.71430781,85.2192181
5G,25.57200625,85.24550804
4G,25.56764673,85.22451914
4G,25.63096615,85.01956936
LTE,25.50206352,85.07161979
LTE,25.52956243,85.16983193
4G,25.4906711,85.13732495
4G,25.56080679,85.06344514
3G,25.46244652,85.06283374
3G,25.57776983,85.11502715
5G,25.54901175,85.15971833
4G,25.53517342,85.00098003
5G,25.60359164,85.16772608
4G,25.617833,85.2270925
LTE,25.60977967,85.00232023
4G,25.42891404,85.14597219
LTE,25.54784419,85.08682908
4G,25.43170641,85.20793998
3G,25.69231943,85.17887742
4G,25.55181176,85.18265141
3G,25.52686725,85.28018596
5G,25.74198009,85.07056972
5G,25.54976539,85.14057649
3G,25.59414771,85.20868908
5G,25.7472555,85.06388557
LTE,25.54015058,85.30473996
LTE,25.54256739,84.98312196
3G,25.75612339,85.14216367
5G,25.57299858,85.00909284
LTE,25.44029637,85.17890116
4G,25.66761448,85.06539418
3G,25.62734869,85.07668929
LTE,25.45231861,85.04316478
LTE,25.60756469,85.02756571
3G,25.4988955,85.27091796
5G,25.67744895,85.08168443
LTE,25.63520146,85.29659665
3G,25.60191794,84.96409822
LTE,25.48203294,85.07380706
LTE,25.52535813,85.1077746
5G,25.49819633,85.18041196
3G,25.65572448,85.19314747
LTE,25.52789721,85.19887623
4G,25.60923087,85.00738102
4G,25.49341674,85.11467469
5G,25.60871173,85.07975597
3G,25.71090287,85.0677369
3G,25.56421283,85.04835053
LTE,25.4492647,85.20863188
3G,25.61400211,85.26108972
4G,25.44395717,85.10091129
LTE,25.51712064,84.99333575
3G,25.64136924,85.0030103
5G,25.48237798,85.21941576
LTE,25.67638718,85.21895856
3G,25.52506533,84.9796177
4G,25.50428455,85.10779496
4G,25.46485726,85.25006319
LTE,25.53936928,85.03265861
LTE,25.48453652,85.00853246
4G,25.72696394,85.13523985
LTE,25.53921078,84.97570315
5G,25.76009589,85.10947424
LTE,25.61942013,85.06282516
LTE,25.5162933,85.10975797
4G,25.46752701,85.18234075
LTE,25.58311392,85.24216985
3G,25.5891876,85.02789488
LTE,25.63654316,85.02022173
5G,25.62965591,84.97848179
3G,25.67651184,85.03513089
LTE,25.70617256,85.13633092
4G,25.5164049,85.07281461
4G,25.69857013,85.11339733
LTE,25.52531964,85.11644587
3G,25.6339339,85.12103044
LTE,25.46442201,85.23813567
3G,25.58007172,85.04621975
LTE,25.69573679,85.14618065
5G,25.5934772,85.31110249
LTE,25.43471632,85.06839355
5G,25.7687484,85.14993367
3G,25.4760098,85.26953363
3G,25.65481744,84.99746904
3G,25.50342078,84.98899046
LTE,25.43259348,85.10153449
3G,25.5902952,84.98262115
4G,25.63038365,85.29397301
4G,25.45630017,85.23972553
LTE,25.6460517,85.16812434
LTE,25.66285015,85.0322292
5G,25.67730645,85.1041699
LTE,25.50312714,85.2244486
5G,25.49387442,85.06728808
5G,25.60145152,85.16704182
4G,25.59888136,85.05398401
3G,25.73667887,85.10359423
5G,25.72309971,85.05672592
3G,25.6821857,85.099539
3G,25.7121931,85.05098002
4G,25.58824736,85.08941671
5G,25.5924436,85.25263196
4G,25.65719718,85.24162167
4G,25.54602236,85.03498562
5G,25.69563983,85.15489579
5G,25.59305934,85.2122559
LTE,25.4725369,85.10819645
3G,25.55472946,85.07768757
LTE,25.76510827,85.0937298
5G,25.59007931,84.98702088
5G,25.59203417,85.17221181
5G,25.5244017,85.07901293
5G,25.55990446,85.30901391
5G,25.45441129,85.08179723
3G,25.73900304,85.04251513
4G,25.691932,85.28467794
4G,25.68052319,85.0208633
4G,25.51460628,84.97745566
LTE,25.48005983,85.19298181
5G,25.45121536,85.08607189
LTE,25.57896891,84.95888283
5G,25.49467913,85.04854805
4G,25.4685894,85.21131454
5G,25.74328665,85.15922471
5G,25.57307378,85.12889855
3G,25.51951108,85.20900082
4G,25.47274044,85.06084424
4G,25.48438883,85.13361161
4G,25.7159353,85.08864848
3G,25.63126913,85.18857385
5G,25.70029285,85.05160602
4G,25.66908129,85.21037091
LTE,25.57920754,85.16894731
LTE,25.69647398,85.12815484
4G,25.66166927,85.23760977
5G,25.48111764,85.1854776
LTE,25.6285048,85.2761225
3G,25.57579909,85.27162414
LTE,25.76196533,85.07967458
5G,25.62345639,85.02860931
4G,25.57279932,84.97438808
LTE,25.58736345,85.01312499
3G,25.72334111,85.18192794
3G,25.71436695,85.02020182
4G,25.51192191,85.12332504
LTE,25.42835517,85.1228036
5G,25.73210472,85.20324919
5G,25.67085533,85.08100376
3G,25.6678022,85.00727232
5G,25.73015421,85.08214979
3G,25.50071298,85.08157474
5G,25.67977541,85.1735456
3G,25.7497437,85.07533242
4G,25.61410038,85.2562755
5G,25.58959067,85.15253883
5G,25.54338705,85.29232152
LTE,25.65549507,85.05716692
3G,25.71059857,85.06789867
3G,25.57779553,85.12891842
5G,25.63058568,85.12728911
4G,25.57998039,85.13813368
3G,25.43243103,85.06972262
LTE,25.62598917,85.0007823
4G,25.54919096,85.24587618
4G,25.53680433,85.17653966
3G,25.69913547,85.1581344
4G,25.61277318,85.02488738
5G,25.48367372,85.15007577
4G,25.59351108,84.98565225
LTE,25.48620506,85.15317877
3G,25.68611602,85.25629296
LTE,25.58736983,85.2974118
3G,25.5423626,85.25171204
4G,25.48071332,85.0277437
4G,25.71061464,85.18776349
5G,25.59620518,85.08999169
3G,25.4394983,85.09514487
3G,25.49943991,85.21746122
LTE,25.69000147,85.19489503
3G,25.58242793,84.9636577
LTE,25.69633872,85.06930095
3G,25.59673258,85.11730005
LTE,25.43812623,85.05020835
LTE,25.75601377,85.16804709
4G,25.66198795,85.01495254
5G,25.61894203,85.10648802
4G,25.66112897,85.09355272
LTE,25.7564074,85.09031597
3G,25.53306558,85.10283911
LTE,25.65861881,85.2662829
3G,25.56284482,85.2316853
5G,25.55775451,85.29709689
3G,25.42741445,85.17253079
3G,25.72949932,85.04935714
3G,25.62465131,85.28636246
3G,25.49564035,85.03757383
3G,25.63310028,85.15956422
LTE,25.53973045,85.2570612
4G,25.7064982,85.085705
5G,25.47792354,85.08101327
4G,25.44040061,85.10680888
5G,25.72635866,85.19427942
5G,25.54315892,84.99149534
LTE,25.51262471,85.28618351
4G,25.58184847,84.98764186
LTE,25.76161471,85.13539938
LTE,25.7104182,85.08685728
LTE,25.65852254,85.15488719
3G,25.63933353,85.23636018
3G,25.62478755,85.08513161
3G,25.59581927,85.02087086
5G,25.57596665,84.97846691
4G,25.65982221,85.12530031
3G,25.54238257,85.04162957
3G,25.50988017,85.08214293
3G,25.60400028,85.03861747
3G,25.52370857,85.00658383
3G,25.48778084,85.16414934
3G,25.66266232,85.05373761
3G,25.46400556,85.22191568
5G,25.5894379,85.25618962
LTE,25.55160237,85.2537343
4G,25.52761806,85.22536966
3G,25.61215328,85.2096325
LTE,25.57321231,85.30124961
LTE,25.61617005,85.07717606
5G,25.47353935,85.16202942
5G,25.58262059,85.02850381
5G,25.43380277,85.17864645
4G,25.68086923,85.10224076
LTE,25.60146478,84.9821937
LTE,25.65228729,85.281722
5G,25.42394051,85.10437721
LTE,25.49926111,85.17562145
5G,25.62364185,84.96435722
5G,25.70814781,85.24540819
3G,25.49603489,85.21092574
5G,25.6469588,85.3077847
LTE,25.42097892,85.1375322
4G,25.51351627,85.08872746
5G,25.69622481,85.15631656
LTE,25.67472626,85.15720402
LTE,25.66310935,85.07285847
5G,25.67876718,85.2721588
4G,25.64681377,85.22263134
3G,25.42285755,85.15865237
5G,25.72044731,85.13338312
LTE,25.72312568,85.25083111
5G,25.68476318,85.24867213
3G,25.54814212,85.2334783
5G,25.62550317,85.24481866
3G,25.46664852,85.12465254
5G,25.51797529,85.13262063
5G,25.52804628,85.17920936
5G,25.63895289,84.97359575
5G,25.48617776,85.11034189
LTE,25.44775674,85.22730178
5G,25.56738646,85.22637162
5G,25.58211985,85.04660154
5G,25.74143374,85.11840009
4G,25.54277263,85.22825818
3G,25.6353682,84.98900497
5G,25.6612982,85.05384972
5G,25.56215292,85.15848117
